index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
6762,Maple Avenue,los angeles,ca,92345.0,Public,8,False,False,False,False,False,False,34.431337,-117.3475885
6763,Tanyard Road,philadelphia,pa,8080.0,Public,6,False,False,False,False,False,False,39.7824046,-75.1242
6764,East Maryland Avenue,phoenix,az,85016.0,Public,4,False,False,False,False,True,False,33.5315128,-112.0350659
6765,East Grovers Avenue,phoenix,az,85022.0,Public,20,False,False,False,False,True,False,33.6487522,-112.0593238
6766,Dartmouth Street,san francisco - oakland - san jose,ca,94306.0,Public,2,False,False,False,False,False,False,37.4191517,-122.1521223
6767,San Jose Avenue,san francisco - oakland - san jose,ca,95060.0,Public,2,False,True,False,False,False,False,36.9538958,-122.0507777
6768,Street,miami-fort lauderdale,fl,33141.0,Public,12,True,False,False,False,True,True,25.8578236,-80.1229155
6769,Linda Vista Road,san diego,ca,92111.0,Homeowners Community,1,False,False,False,False,False,False,32.8073138,-117.1558535
6770,West Flagler Street,miami-fort lauderdale,fl,33126.0,Public,2,False,True,False,False,True,False,25.7705713,-80.3087068
6771,Buffalo Road,rochester,ny,14428.0,Public,9,False,False,False,False,False,False,43.1190368,-77.835055
6772,Syracuse Drive,dallas - fort worth,tx,75081.0,Public,10,False,False,False,False,True,True,32.9505232,-96.6950083
6773,Wangum Road,rochester,ny,14564.0,Public,2,False,False,False,False,False,False,43.0067811,-77.470833
6774,South Cockrell Hill Road,dallas - fort worth,tx,75236.0,Homeowners Community,1,False,False,False,False,True,False,32.6684163,-96.8893504
6775,Barton Springs Street,houston - galveston - brazoria,tx,77573.0,Public,6,False,True,False,False,False,False,29.5093132,-95.0657272
6776,Charmuth Road,baltimore,md,21093.0,Public,3,False,False,False,False,False,False,39.4308316,-76.614886
6777,Ginger Cove Drive,tampa-st. petersburg-clearwater,fl,33634.0,Homeowners Community,1,False,False,False,False,True,False,27.9794417,-82.5592411
6778,Mangnolia Square,tampa-st. petersburg-clearwater,fl,33770.0,Homeowners Community,1,False,False,False,False,True,False,27.9148516,-82.7804804
6779,Fletchers Mill Drive,tampa-st. petersburg-clearwater,fl,33613.0,Homeowners Community,2,False,False,False,False,False,False,28.0715638,-82.4769616
6780,Park Central Drive,orlando,fl,32839.0,Homeowners Community,2,False,False,False,False,True,False,28.4915036,-81.4123821
6781,Haughton Lane,orlando,fl,32835.0,Homeowners Community,1,False,False,False,False,True,False,28.5333903,-81.4705539
6782,Bent Tree Road,austin-san marcos,tx,78759.0,Homeowners Community,1,False,False,False,False,False,False,30.3728844,-97.7429366
6783,James F. Hall Trail,wilmington-newark,de,19711.0,Public,3,False,False,False,False,True,False,39.6692825,-75.757566
6784,Lake Jane Trail North,minneapolis-st. paul,mn,55042.0,Public,3,False,True,False,False,True,False,45.0073795,-92.941412
6785,Depew Street,denver,co,80003.0,Public,2,False,False,False,False,False,False,39.8104872,-105.0583
6786,Church Street,buffalo-niagara falls,ny,14174.0,Public,2,False,False,False,False,True,False,43.2450229,-79.044935
6787,Montpelier Drive,washington,dc,20708.0,Public,2,False,True,False,False,False,False,39.0616534,-76.8614888
6788,Belleterre Drive,atlanta,ga,30004.0,Homeowners Community,2,False,False,False,False,True,False,34.1149224,-84.2617464
6789,Lawrenceville Highway,atlanta,ga,30044.0,Homeowners Community,2,False,False,False,False,True,False,33.9262336,-84.0580273
6790,Boulan Park Drive,detroit,mi,48084.0,Public,8,False,True,False,False,True,False,42.5723379,-83.1728661
6791,Ridgestone Drive Southwest,atlanta,ga,30008.0,Homeowners Community,2,False,False,False,False,True,False,33.9062277,-84.5660484
6792,Baywood Drive,cleveland,oh,44212.0,Public,1,False,False,False,False,False,False,41.2566782,-81.8519425
6793,West Baseline Road,portland,or,97123.0,Homeowners Community,1,False,False,False,False,False,False,45.5188498,-122.9293621
6794,Santiago Road,baltimore,md,21045.0,Public,4,False,False,False,False,True,False,39.2077331,-76.8442369
